device_id  ,user_id  ,device_type  ,os  ,ip_address  ,is_compromised
DEV00001,USR00001,iPad,ChromeOS,121.142.41.98,1
DEV00002,USR00002,Linux Desktop,Android 12,105.98.178.105,1
DEV00003,USR00003,iPhone,macOS Sonoma,169.98.245.13,0
DEV00004,USR00004,Windows Laptop,Android 13,206.150.196.178,1
DEV00005,USR00005,Android Mobile,Windows 8,124.140.198.132,1
DEV00006,USR00006,Android Tablet,Windows 8,211.59.18.176,1
DEV00007,USR00007,Android Tablet,Windows 10,26.222.81.31,1
DEV00008,USR00008,Windows Laptop,iOS 16,207.19.104.70,1
DEV00009,USR00009,iPhone,ChromeOS,219.250.184.40,1
DEV00010,USR00010,Windows Desktop,iOS 16,209.96.212.43,0
DEV00011,USR00011,iPhone,Android 14,115.41.114.97,1
DEV00012,USR00012,Unknown Device,iOS 15,70.206.115.33,0
DEV00013,USR00013,Linux Desktop,iOS 17,139.52.212.191,1
DEV00014,USR00014,Windows Laptop,macOS Monterey,68.227.169.73,1
DEV00015,USR00015,iPad,iOS 15,28.248.104.249,1
DEV00016,USR00016,Linux Desktop,macOS Monterey,242.101.66.59,1
DEV00017,USR00017,iPad,iOS 16,41.91.96.159,1
DEV00018,USR00018,Linux Desktop,macOS Sonoma,62.136.59.115,1
DEV00019,USR00019,Unknown Device,Windows 10,14.214.19.197,1
DEV00020,USR00020,iPhone,macOS Ventura,233.219.159.78,1
DEV00021,USR00021,Android Mobile,Linux Fedora,173.28.133.155,0
DEV00022,USR00022,Unknown Device,Windows 11,34.171.81.24,0
DEV00023,USR00023,Windows Desktop,iOS 15,185.236.123.77,0
DEV00024,USR00024,Android Mobile,Linux Ubuntu,241.54.20.69,1
DEV00025,USR00025,iPhone,Android 13,88.68.217.26,1
DEV00026,USR00026,iPad,macOS Monterey,53.148.157.140,0
DEV00027,USR00027,iPad,iOS 15,123.83.94.245,1
DEV00028,USR00028,ChromeOS Laptop,Linux Ubuntu,121.190.4.63,0
DEV00029,USR00029,Android Tablet,Windows 8,164.88.68.203,0
DEV00030,USR00030,iPad,iOS 17,252.158.126.102,0
DEV00031,USR00031,Unknown Device,Linux Ubuntu,138.218.42.132,1
DEV00032,USR00032,iPad,Windows 8,29.159.161.194,0
DEV00033,USR00033,ChromeOS Laptop,ChromeOS,91.29.202.164,1
DEV00034,USR00034,MacBook,Android 13,107.203.177.70,1
DEV00035,USR00035,Android Tablet,Android 12,34.23.166.140,0
DEV00036,USR00036,Android Mobile,Windows 8,146.242.42.54,0
DEV00037,USR00037,Linux Desktop,iOS 17,143.94.225.188,0
DEV00038,USR00038,Windows Laptop,Linux Ubuntu,12.180.142.225,0
DEV00039,USR00039,Unknown Device,Android 13,145.117.163.19,1
DEV00040,USR00040,iPad,iOS 17,56.96.100.152,1
DEV00041,USR00041,iPad,Linux Fedora,93.59.150.214,0
DEV00042,USR00042,MacBook,Windows 11,233.211.119.13,1
DEV00043,USR00043,Unknown Device,macOS Monterey,14.176.69.202,1
DEV00044,USR00044,Windows Laptop,Windows 10,113.88.246.165,0
DEV00045,USR00045,ChromeOS Laptop,iOS 17,196.245.101.105,1
DEV00046,USR00046,ChromeOS Laptop,macOS Ventura,57.176.141.227,0
DEV00047,USR00047,Unknown Device,macOS Sonoma,137.162.79.225,1
DEV00048,USR00048,Windows Desktop,Windows 11,115.157.134.144,1
DEV00049,USR00049,Android Mobile,macOS Monterey,27.133.159.26,1
DEV00050,USR00050,iPad,iOS 15,59.63.228.51,1
DEV00051,USR00051,ChromeOS Laptop,macOS Monterey,190.202.222.56,1
DEV00052,USR00052,iPhone,macOS Ventura,190.86.225.79,1
DEV00053,USR00053,Android Mobile,Android 12,198.120.132.57,0
DEV00054,USR00054,MacBook,Windows 8,16.143.35.214,0
DEV00055,USR00055,ChromeOS Laptop,Android 14,5.28.193.72,0
DEV00056,USR00056,Windows Laptop,iOS 16,30.140.100.171,0
DEV00057,USR00057,Windows Desktop,macOS Monterey,97.85.145.13,1
DEV00058,USR00058,Android Mobile,ChromeOS,201.226.32.82,1
DEV00059,USR00059,Windows Desktop,Android 12,58.55.224.247,0
DEV00060,USR00060,Unknown Device,Android 13,18.99.162.188,0
DEV00061,USR00061,iPhone,Windows 8,2.111.214.194,1
DEV00062,USR00062,iPad,Android 14,193.209.86.218,1
DEV00063,USR00063,Linux Desktop,iOS 16,239.98.31.26,1
DEV00064,USR00064,MacBook,iOS 15,179.238.105.48,0
DEV00065,USR00065,Android Mobile,Android 13,128.178.144.181,1
DEV00066,USR00066,Unknown Device,ChromeOS,207.207.123.90,1
DEV00067,USR00067,ChromeOS Laptop,Linux Fedora,216.95.140.234,0
DEV00068,USR00068,ChromeOS Laptop,Linux Fedora,6.188.201.12,0
DEV00069,USR00069,Windows Laptop,macOS Monterey,95.35.187.203,0
DEV00070,USR00070,Linux Desktop,Windows 11,35.159.166.160,0
DEV00071,USR00071,Unknown Device,Android 12,101.107.211.248,0
DEV00072,USR00072,Unknown Device,macOS Monterey,170.128.171.24,0
DEV00073,USR00073,MacBook,Windows 8,240.219.171.192,0
DEV00074,USR00074,iPad,macOS Monterey,220.74.116.54,1
DEV00075,USR00075,iPhone,iOS 16,62.210.8.1,1
DEV00076,USR00076,MacBook,iOS 17,208.29.20.226,1
DEV00077,USR00077,iPhone,iOS 15,65.79.176.18,0
DEV00078,USR00078,Unknown Device,ChromeOS,71.45.77.123,1
DEV00079,USR00079,Windows Desktop,Windows 11,88.25.146.189,0
DEV00080,USR00080,Android Mobile,iOS 15,118.238.199.18,1
DEV00081,USR00081,Windows Laptop,macOS Sonoma,182.192.73.39,0
DEV00082,USR00082,Windows Desktop,Linux Ubuntu,101.90.47.240,0
DEV00083,USR00083,ChromeOS Laptop,Android 13,248.122.83.176,1
DEV00084,USR00084,Linux Desktop,Android 12,129.113.62.165,1
DEV00085,USR00085,iPad,Windows 8,253.97.8.239,0
DEV00086,USR00086,Windows Laptop,Linux Ubuntu,131.186.208.145,1
DEV00087,USR00087,ChromeOS Laptop,iOS 17,214.45.133.140,0
DEV00088,USR00088,Windows Laptop,iOS 16,63.141.111.198,0
DEV00089,USR00089,MacBook,Android 13,21.7.94.32,1
DEV00090,USR00090,Android Mobile,Android 14,195.70.173.7,0
DEV00091,USR00091,iPad,macOS Ventura,66.217.74.40,0
DEV00092,USR00092,Windows Desktop,Linux Ubuntu,200.71.140.104,1
DEV00093,USR00093,Android Tablet,Linux Fedora,77.232.12.185,0
DEV00094,USR00094,Windows Laptop,Linux Fedora,253.87.51.141,0
DEV00095,USR00095,Android Tablet,Windows 10,41.179.130.120,0
DEV00096,USR00096,MacBook,iOS 15,105.225.26.103,1
DEV00097,USR00097,Android Mobile,Linux Ubuntu,28.45.110.106,0
DEV00098,USR00098,iPhone,Linux Fedora,219.236.46.143,1
DEV00099,USR00099,iPhone,Windows 11,230.153.212.168,0
DEV00100,USR00100,ChromeOS Laptop,iOS 15,51.236.196.9,0
DEV00101,USR00101,Linux Desktop,Android 13,124.219.111.115,1
DEV00102,USR00102,Android Mobile,iOS 17,57.152.81.222,0
DEV00103,USR00103,iPad,iOS 16,36.250.52.19,0
DEV00104,USR00104,MacBook,iOS 15,188.106.230.248,0
DEV00105,USR00105,iPhone,Linux Fedora,214.136.60.98,0
DEV00106,USR00106,Windows Desktop,Windows 10,181.31.81.87,1
DEV00107,USR00107,ChromeOS Laptop,iOS 16,18.198.254.190,1
DEV00108,USR00108,Windows Desktop,Android 13,146.189.208.83,1
DEV00109,USR00109,Windows Laptop,Android 14,193.33.37.22,1
DEV00110,USR00110,Windows Desktop,iOS 15,225.186.220.28,0
DEV00111,USR00111,Windows Desktop,iOS 16,48.213.230.4,1
DEV00112,USR00112,Windows Desktop,macOS Sonoma,68.68.43.47,0
DEV00113,USR00113,Linux Desktop,Windows 8,197.4.7.41,1
DEV00114,USR00114,Unknown Device,Linux Fedora,185.14.93.125,0
DEV00115,USR00115,Android Mobile,Windows 8,9.112.121.177,0
DEV00116,USR00116,MacBook,ChromeOS,47.94.224.243,0
DEV00117,USR00117,iPhone,Windows 11,44.208.68.214,0
DEV00118,USR00118,iPhone,iOS 17,24.73.134.106,0
DEV00119,USR00119,ChromeOS Laptop,iOS 16,97.157.15.191,0
DEV00120,USR00120,iPhone,macOS Monterey,64.233.2.10,0
DEV00121,USR00121,Android Mobile,iOS 16,25.183.49.34,0
DEV00122,USR00122,Windows Laptop,iOS 15,109.78.166.8,0
DEV00123,USR00123,MacBook,iOS 15,239.148.249.228,0
DEV00124,USR00124,MacBook,macOS Sonoma,97.101.28.124,0
DEV00125,USR00125,iPhone,macOS Sonoma,107.159.48.69,1
DEV00126,USR00126,Windows Laptop,ChromeOS,98.155.248.56,1
DEV00127,USR00127,iPhone,Windows 11,58.217.17.187,0
DEV00128,USR00128,Android Tablet,Linux Ubuntu,65.43.129.75,0
DEV00129,USR00129,Linux Desktop,macOS Monterey,183.56.204.114,1
DEV00130,USR00130,iPad,macOS Monterey,227.155.213.243,1
DEV00131,USR00131,MacBook,macOS Ventura,183.215.14.82,1
DEV00132,USR00132,Windows Desktop,iOS 16,7.95.192.251,1
DEV00133,USR00133,Windows Desktop,Android 13,7.2.202.171,0
DEV00134,USR00134,Windows Desktop,macOS Monterey,188.246.101.118,1
DEV00135,USR00135,iPhone,Windows 8,219.31.51.213,0
DEV00136,USR00136,ChromeOS Laptop,iOS 16,127.243.138.42,1
DEV00137,USR00137,Android Tablet,Android 14,9.22.241.82,0
DEV00138,USR00138,iPad,Android 14,19.165.117.155,0
DEV00139,USR00139,Windows Desktop,Linux Fedora,254.24.146.112,0
DEV00140,USR00140,Android Mobile,macOS Ventura,8.39.195.61,1
DEV00141,USR00141,MacBook,ChromeOS,255.137.22.32,0
DEV00142,USR00142,MacBook,macOS Monterey,163.39.106.172,0
DEV00143,USR00143,Linux Desktop,Android 12,104.102.174.175,1
DEV00144,USR00144,Android Tablet,iOS 16,20.13.123.99,1
DEV00145,USR00145,Linux Desktop,Android 13,96.15.92.15,0
DEV00146,USR00146,Linux Desktop,macOS Ventura,96.175.102.85,1
