user_id,merchant_id,merchant_name,merchant_category  ,city,is_blacklisted
USR00001,M00166,SkillHub Learning,Services,Bhubaneswar,1
USR00002,M00149,ShopFlix,E-Commerce,Indore,1
USR00003,M00419,FreshStyle,Fashion & Apparel,Hubli-Dharwad,0
USR00004,M00153,MegaMart,Fashion & Apparel,Ranchi,1
USR00005,M00453,SmartTech,Electronics,Navi Mumbai,0
USR00006,M00343,MegaOnline,E-Commerce,Pimpri-Chinchwad,0
USR00007,M00025,IndiaDeals,E-Commerce,Ranchi,1
USR00008,M00070,RoadMate Cars,Travel & Transport,Jaipur,0
USR00009,M00195,CityCab Travels,Travel & Transport,Delhi,0
USR00010,M00015,Medline Wellness,Health & Medical,Varanasi,0
USR00011,M00073,Device Galaxy,Electronics,Chandigarh,1
USR00012,M00498,HomeBasket,Grocery & Supermarket,Kota,0
USR00013,M00208,QuickBasket,Grocery & Supermarket,Solapur,0
USR00014,M00378,WellnessStreet,Health & Medical,Chennai,0
USR00015,M00074,ExpressAuto Hire,Travel & Transport,Kalyan-Dombivli,0
USR00016,M00089,QuickPay Systems,Finance & Payment,Pune,0
USR00017,M00221,Medline Wellness,Health & Medical,Meerut,1
USR00018,M00391,GoodLife Healthcare,Health & Medical,Navi Mumbai,1
USR00019,M00389,WoodArt Furniture,Home & Furniture,Allahabad,0
USR00020,M00043,FlyHigh Airlines,Travel & Transport,Faridabad,1
USR00021,M00057,RoadMate Cars,Travel & Transport,Coimbatore,0
USR00022,M00351,ElectroHub,Electronics,Aligarh,0
USR00023,M00395,Lifewell Medicals,Health & Medical,Rajkot,0
USR00024,M00386,UrbanWear,Fashion & Apparel,Kanpur,0
USR00025,M00191,GoldenGym Fitness,Other,Dhanbad,0
USR00026,M00154,Biryani House,Food & Beverages,Tiruchirappalli,1
USR00027,M00459,GreenFarm Store,Grocery & Supermarket,Dhanbad,0
USR00028,M00297,Dream Prints,Services,Rajkot,1
USR00029,M00124,RapidPay Services,Finance & Payment,Nagpur,0
USR00030,M00494,MegaOnline,E-Commerce,Nashik,1
USR00031,M00483,SmartTech,Electronics,Meerut,1
USR00032,M00467,Gadget Point,Electronics,Solapur,0
USR00033,M00407,TrendyCart,Fashion & Apparel,Bareilly,0
USR00034,M00263,OfferBazaar,E-Commerce,Lucknow,0
USR00035,M00108,CityCab Travels,Travel & Transport,Tiruchirappalli,0
USR00036,M00484,Apollo Pharmacy,Health & Medical,Dhanbad,1
USR00037,M00406,India Tour Trip,Travel & Transport,Moradabad,0
USR00038,M00145,ElectroHub,Electronics,Howrah,1
USR00039,M00055,EventPlus Management,Services,Vadodara,1
USR00040,M00423,GoodLife Healthcare,Health & Medical,Mysore,1
USR00041,M00357,CartCity,E-Commerce,Gwalior,1
USR00042,M00332,MasterArt Studio,Services,Lucknow,1
USR00043,M00293,WoodArt Furniture,Home & Furniture,Mumbai,0
USR00044,M00167,FinTrust Corp,Finance & Payment,Patna,1
USR00045,M00114,Mobile Planet,Electronics,Tiruchirappalli,1
USR00046,M00170,BuyBoss,E-Commerce,Meerut,0
USR00047,M00466,BuyBoss,E-Commerce,Madurai,0
USR00048,M00414,WoodArt Furniture,Home & Furniture,Srinagar,0
USR00049,M00138,FreshStyle,Fashion & Apparel,Srinagar,1
USR00050,M00028,WellnessStreet,Health & Medical,Vasai-Virar,0
USR00051,M00115,ShopFlix,E-Commerce,Bareilly,1
USR00052,M00302,TrendDealz,E-Commerce,Coimbatore,1
USR00053,M00393,SafePay Solutions,Finance & Payment,Mira-Bhayandar,1
USR00054,M00096,ChaiWala Express,Food & Beverages,Dhanbad,1
USR00055,M00461,DigitalMart,Electronics,Visakhapatnam,0
USR00056,M00066,GoldenGym Fitness,Other,Jodhpur,1
USR00057,M00057,Kebab Junction,Food & Beverages,Bangalore,1
USR00058,M00051,FlexiFunds,Finance & Payment,Visakhapatnam,0
USR00059,M00343,MicroCredit India,Finance & Payment,Surat,1
USR00060,M00124,ExpressAuto Hire,Travel & Transport,Allahabad,1
USR00061,M00288,CyberStore,Electronics,Nashik,0
USR00062,M00453,Biryani House,Food & Beverages,Kota,1
USR00063,M00352,Royal Interiors,Home & Furniture,Kota,0
USR00064,M00118,MetroTaxi Services,Travel & Transport,Kota,1
USR00065,M00293,TechStreet,Electronics,Chandigarh,1
USR00066,M00015,Royal Interiors,Home & Furniture,Allahabad,1
USR00067,M00128,GoldenGym Fitness,Other,Salem,0
USR00068,M00199,SmartGrocer,Grocery & Supermarket,Thane,1
USR00069,M00275,SmartGrocer,Grocery & Supermarket,Mysore,1
USR00070,M00012,PrimeDecor,Home & Furniture,Tiruchirappalli,1
USR00071,M00434,PharmaTrust,Health & Medical,Chennai,0
USR00072,M00018,PaySmart Wallet,Finance & Payment,Mumbai,0
USR00073,M00143,TechStreet,Electronics,Gwalior,0
USR00074,M00164,HomeBasket,Grocery & Supermarket,Thane,1
USR00075,M00208,PharmaTrust,Health & Medical,Surat,0
USR00076,M00088,Medico Care,Health & Medical,Lucknow,0
USR00077,M00148,GoRide Mobility,Travel & Transport,Srinagar,0
USR00078,M00276,Medico Care,Health & Medical,Allahabad,0
USR00079,M00395,CyberStore,Electronics,Faridabad,0
USR00080,M00255,RoyalBazaar,Fashion & Apparel,Jalandhar,0
USR00081,M00420,Dream Prints,Services,Kolkata,1
USR00082,M00163,Medline Wellness,Health & Medical,Gwalior,0
USR00083,M00196,Device Galaxy,Electronics,Visakhapatnam,0
USR00084,M00232,ProFix Repairs,Services,Visakhapatnam,0
USR00085,M00351,FoodPlus,Grocery & Supermarket,Surat,1
USR00086,M00160,ClothCraft,Fashion & Apparel,Kanpur,1
USR00087,M00429,Apollo Pharmacy,Health & Medical,Chennai,1
USR00088,M00199,ClothCraft,Fashion & Apparel,Bhopal,1
USR00089,M00192,GoldenGym Fitness,Other,Kalyan-Dombivli,0
USR00090,M00361,GoodLife Healthcare,Health & Medical,Dhanbad,0
USR00091,M00007,MetroTaxi Services,Travel & Transport,Coimbatore,0
USR00092,M00225,FlexiFunds,Finance & Payment,Vijayawada,0
USR00093,M00361,PrimeDecor,Home & Furniture,Navi Mumbai,1
USR00094,M00158,WoodArt Furniture,Home & Furniture,Guwahati,0
USR00095,M00396,MicroCredit India,Finance & Payment,Indore,1
USR00096,M00219,FinTrust Corp,Finance & Payment,Thane,1
USR00097,M00070,MegaMart,Fashion & Apparel,Faridabad,0
USR00098,M00283,Biryani House,Food & Beverages,Mira-Bhayandar,0
USR00099,M00242,UrbanSheets,Home & Furniture,Guwahati,1
USR00100,M00117,FreshStyle,Fashion & Apparel,Delhi,0
USR00101,M00175,FlyHigh Airlines,Travel & Transport,Kolkata,1
USR00102,M00178,GreenFarm Store,Grocery & Supermarket,Vadodara,0
USR00103,M00014,Burger World,Food & Beverages,Bangalore,1
USR00104,M00317,ShopFlix,E-Commerce,Hubli-Dharwad,1
USR00105,M00404,ExpressAuto Hire,Travel & Transport,Jaipur,1
USR00106,M00133,TrendyCart,Fashion & Apparel,Varanasi,1
USR00107,M00182,ProFix Repairs,Services,Solapur,0
USR00108,M00299,SmartTech,Electronics,Indore,0
USR00109,M00073,FreshStyle,Fashion & Apparel,Patna,0
USR00110,M00317,StreetStyle,Fashion & Apparel,Aurangabad,0
USR00111,M00439,PharmaTrust,Health & Medical,Pune,0
USR00112,M00404,HomeZone,Home & Furniture,Vadodara,0
USR00113,M00085,BusFleet Online,Travel & Transport,Kolkata,1
USR00114,M00296,PrimeDecor,Home & Furniture,Solapur,0
USR00115,M00036,Medico Care,Health & Medical,Mira-Bhayandar,0
USR00116,M00261,HomeZone,Home & Furniture,Jodhpur,0
USR00117,M00078,MegaOnline,E-Commerce,Raipur,0
USR00118,M00133,FlyHigh Airlines,Travel & Transport,Faridabad,0
USR00119,M00332,TechStreet,Electronics,Bhubaneswar,0
USR00120,M00184,ExpressAuto Hire,Travel & Transport,Meerut,1
USR00121,M00256,FreshChoice,Grocery & Supermarket,Allahabad,0
USR00122,M00285,SpiceNation,Food & Beverages,Chennai,1
USR00123,M00289,Medline Wellness,Health & Medical,Chennai,0
USR00124,M00252,UrbanWear,Fashion & Apparel,Hyderabad,1
USR00125,M00120,Laptronics,Electronics,Ranchi,1
USR00126,M00474,MetroTaxi Services,Travel & Transport,Howrah,0
USR00127,M00241,Creative Media,Services,Mira-Bhayandar,1
USR00128,M00430,BigCart Grocery,Grocery & Supermarket,Mira-Bhayandar,1
USR00129,M00108,DigitalMart,Electronics,Aligarh,1
USR00130,M00313,IndiaDeals,E-Commerce,Gurgaon,0
USR00131,M00414,OfferBazaar,E-Commerce,Jodhpur,1
USR00132,M00470,PharmaTrust,Health & Medical,Varanasi,1
USR00133,M00146,BusFleet Online,Travel & Transport,Indore,1
USR00134,M00350,ClothCraft,Fashion & Apparel,Jabalpur,1
USR00135,M00003,LoanBridge Pvt Ltd,Finance & Payment,Jabalpur,1
USR00136,M00004,Gadget Point,Electronics,Thane,1
USR00137,M00261,HomeCraft Furnish,Home & Furniture,Mysore,0
USR00138,M00186,StyleHub,Fashion & Apparel,Salem,0
USR00139,M00377,DailyNeeds Superstore,Grocery & Supermarket,Pune,1
USR00140,M00463,BharatMoney Transfer,Finance & Payment,Vasai-Virar,1
USR00141,M00400,PaySmart Wallet,Finance & Payment,Jaipur,0
USR00142,M00457,UrbanCafe,Food & Beverages,Pune,1
USR00143,M00370,PremiumFurnish,Home & Furniture,Ranchi,0
USR00144,M00494,GreenFarm Store,Grocery & Supermarket,Salem,0
USR00145,M00073,DecorPoint,Home & Furniture,Solapur,0
USR00146,M00339,Creative Media,Services,Vijayawada,0
USR00147,M00483,Device Galaxy,Electronics,Raipur,1
USR00148,M00203,Gadget Point,Electronics,Faridabad,1
USR00149,M00395,PremiumFurnish,Home & Furniture,Meerut,0
USR00150,M00478,CyberStore,Electronics,Srinagar,1
USR00151,M00284,ProFix Repairs,Services,Gwalior,1
USR00152,M00209,BusFleet Online,Travel & Transport,Srinagar,1
USR00153,M00145,FashionBay,Fashion & Apparel,Solapur,1
USR00154,M00075,KartPlanet,E-Commerce,Bangalore,0
USR00155,M00093,SmartTech,Electronics,Gurgaon,0
USR00156,M00250,BharatMoney Transfer,Finance & Payment,Allahabad,0
USR00157,M00267,GreenFarm Store,Grocery & Supermarket,Kanpur,1
USR00158,M00409,SecureFinance Co,Finance & Payment,Bangalore,0
USR00159,M00033,SecureFinance Co,Finance & Payment,Visakhapatnam,0
USR00160,M00321,CyberStore,Electronics,Navi Mumbai,1
USR00161,M00079,Dream Prints,Services,Jalandhar,1
USR00162,M00384,CityCab Travels,Travel & Transport,Dhanbad,1
USR00163,M00332,KartPlanet,E-Commerce,Dhanbad,1
USR00164,M00434,Sparkle Cleaning,Services,Thane,1
USR00165,M00459,Biryani House,Food & Beverages,Coimbatore,1
USR00166,M00326,SpiceNation,Food & Beverages,Kanpur,0
USR00167,M00188,MasterArt Studio,Services,Jalandhar,0
USR00168,M00280,Medline Wellness,Health & Medical,Bhopal,0
USR00169,M00118,RapidPay Services,Finance & Payment,Nagpur,0
USR00170,M00430,India Tour Trip,Travel & Transport,Vadodara,1
USR00171,M00200,TrendyCart,Fashion & Apparel,Rajkot,0
USR00172,M00281,BusFleet Online,Travel & Transport,Jabalpur,0
USR00173,M00208,CityCab Travels,Travel & Transport,Lucknow,0
USR00174,M00354,SmartGrocer,Grocery & Supermarket,Aligarh,0
USR00175,M00158,GreenFarm Store,Grocery & Supermarket,Coimbatore,0
USR00176,M00301,FashionBay,Fashion & Apparel,Tiruchirappalli,1
USR00177,M00346,LivingSpaces,Home & Furniture,Mumbai,1
USR00178,M00382,HealthPlus Clinic,Health & Medical,Delhi,1
USR00179,M00453,Apollo Pharmacy,Health & Medical,Moradabad,0
USR00180,M00210,PremiumFurnish,Home & Furniture,Indore,0
USR00181,M00360,SweetCorner,Food & Beverages,Guwahati,0
