transaction_id  ,user_id  ,device_id  ,transaction_date  ,amount  ,merchant_id  ,merchant_category  ,payment_method  ,location  ,is_international  ,label   
TXN00001,USR00001,DEV00001,31-05-2022 22:32:04,44468.87622,M00283,Beverages,Cheque,Jaipur,1,0
TXN00002,USR00002,DEV00002,03-10-2021 10:17:20,5575.621903,M00036,Gaming,Cheque,Jalandhar,0,0
TXN00003,USR00003,DEV00003,18-09-2024 11:16:01,21457.94384,M00172,Digital Subscriptions,Bank Transfer,Aurangabad,1,0
TXN00004,USR00004,DEV00004,06-08-2025 04:30:21,878.7410442,M00338,Pharmacy,Bank Transfer,Mumbai,0,0
TXN00005,USR00005,DEV00005,13-08-2020 05:13:03,28286.04726,M00008,Sports Equipment,Cash,Vijayawada,1,0
TXN00006,USR00006,DEV00006,07-04-2022 03:54:45,4757.93408,M00270,Taxi Services,Crypto,Chandigarh,1,0
TXN00007,USR00007,DEV00007,20-02-2024 07:48:19,46864.76567,M00384,Mobile Recharge,Bank Transfer,Guwahati,0,0
TXN00008,USR00008,DEV00008,06-07-2024 13:10:00,40566.65874,M00486,Medicine,Credit Card,Moradabad,0,0
TXN00009,USR00009,DEV00009,25-11-2021 14:14:53,37779.71427,M00160,Furniture,Crypto,Meerut,1,0
TXN00010,USR00010,DEV00010,11-10-2024 22:03:12,1149.936251,M00318,Photography,Net Banking,Nashik,1,0
TXN00011,USR00011,DEV00011,30-06-2025 00:02:03,4230.045502,M00459,Utilities,EMI,Meerut,0,0
TXN00012,USR00012,DEV00012,01-05-2021 14:38:26,9210.038851,M00011,Internet Services,Cash,Moradabad,0,0
TXN00013,USR00013,DEV00013,22-09-2022 21:45:50,39395.05217,M00402,Medicine,Debit Card,Kalyan-Dombivli,0,0
TXN00014,USR00014,DEV00014,16-08-2021 03:06:53,18598.8652,M00188,Insurance,Wallet,Nashik,1,0
TXN00015,USR00015,DEV00015,01-12-2025 04:39:56,19651.30813,M00318,Cash Withdrawal,Crypto,Jodhpur,1,1
TXN00016,USR00016,DEV00016,05-01-2025 07:18:48,39516.66298,M00274,Insurance,Cheque,Mysore,1,0
TXN00017,USR00017,DEV00017,04-02-2025 23:30:49,29915.83252,M00028,Toys,Wallet,Tiruchirappalli,1,0
TXN00018,USR00018,DEV00018,15-10-2022 02:03:30,14001.39871,M00271,Travel,Credit Card,Coimbatore,1,1
TXN00019,USR00019,DEV00019,20-01-2025 14:47:56,9568.457361,M00382,Entertainment,Cheque,Moradabad,0,0
TXN00020,USR00020,DEV00020,23-12-2023 15:05:17,42153.02659,M00091,Fitness,Crypto,Jaipur,1,0
TXN00021,USR00021,DEV00021,29-04-2020 20:07:31,46726.208,M00112,Hardware Store,Credit Card,Navi Mumbai,1,0
TXN00022,USR00022,DEV00022,02-12-2021 15:56:27,25160.10029,M00464,Mobile Recharge,Cheque,Solapur,0,0
TXN00023,USR00023,DEV00023,22-02-2025 06:16:00,8513.199829,M00034,Sports Equipment,Cheque,Nashik,1,0
TXN00024,USR00024,DEV00024,08-12-2022 02:03:55,5735.231771,M00094,Utilities,Net Banking,Bareilly,1,0
TXN00025,USR00025,DEV00025,27-03-2021 17:43:27,5423.347515,M00067,Food Delivery,Wallet,Vijayawada,1,0
TXN00026,USR00026,DEV00026,10-01-2021 23:43:24,22256.92289,M00049,Furniture,Wallet,Jalandhar,0,0
TXN00027,USR00027,DEV00027,05-02-2025 00:31:35,36801.47197,M00139,Sports Equipment,UPI,Varanasi,1,0
TXN00028,USR00028,DEV00028,15-09-2023 15:31:09,32990.16991,M00304,Wallet Transfer,Credit Card,Meerut,1,0
TXN00029,USR00029,DEV00029,27-07-2023 15:12:52,48445.25671,M00106,Electronics,Bank Transfer,Amritsar,0,0
TXN00030,USR00030,DEV00030,16-05-2020 21:40:15,28906.31343,M00474,Clothing,Net Banking,Vadodara,1,0
TXN00031,USR00031,DEV00031,08-10-2020 11:59:32,21768.46629,M00140,Investment,Debit Card,Gurgaon,1,0
TXN00032,USR00032,DEV00032,11-04-2022 19:25:29,34640.8485,M00228,Home Decor,Credit Card,Gwalior,1,0
TXN00033,USR00033,DEV00033,23-10-2024 06:55:21,31559.45751,M00084,Restaurant,Credit Card,Jalandhar,0,0
TXN00034,USR00034,DEV00034,12-07-2020 18:11:51,2720.858768,M00089,Internet Services,Net Banking,Faridabad,1,0
TXN00035,USR00035,DEV00035,08-05-2021 14:43:58,3729.838973,M00206,Electronics Accessories,Net Banking,Hyderabad,0,0
TXN00036,USR00036,DEV00036,30-04-2024 08:28:24,43668.43274,M00119,EMI Payment,Credit Card,Visakhapatnam,1,0
TXN00037,USR00037,DEV00037,27-08-2020 07:58:54,26187.17645,M00018,Beverages,Debit Card,Raipur,0,1
TXN00038,USR00038,DEV00038,10-04-2024 18:42:13,42630.47957,M00345,Car Rental,Crypto,Gwalior,1,0
TXN00039,USR00039,DEV00039,06-12-2022 14:23:31,24888.38392,M00249,Office Supplies,EMI,Vadodara,1,0
TXN00040,USR00040,DEV00040,04-08-2020 21:24:59,22578.65298,M00180,Gaming,Debit Card,Tiruchirappalli,1,0
TXN00041,USR00041,DEV00041,29-11-2022 02:11:01,16108.10954,M00054,Courier Services,Credit Card,Thane,0,0
TXN00042,USR00042,DEV00042,05-11-2020 23:09:49,3953.090631,M00367,Entertainment,Bank Transfer,Agra,1,0
TXN00043,USR00043,DEV00043,14-01-2023 10:11:36,34580.42363,M00169,Healthcare,EMI,Allahabad,0,0
TXN00044,USR00044,DEV00044,06-06-2023 15:38:38,10974.42561,M00127,Entertainment,UPI,Hubli-Dharwad,1,0
TXN00045,USR00045,DEV00045,19-08-2022 06:47:59,23306.35006,M00237,EMI Payment,Crypto,Madurai,0,0
TXN00046,USR00046,DEV00046,29-06-2020 19:03:36,10896.5,M00237,Clothing,Net Banking,Ghaziabad,1,0
TXN00047,USR00047,DEV00047,26-01-2022 07:53:26,43687.54068,M00490,Groceries,UPI,Raipur,0,0
TXN00048,USR00048,DEV00048,31-03-2020 19:57:32,38777.55713,M00307,Taxi Services,Debit Card,Jaipur,0,0
TXN00049,USR00049,DEV00049,21-10-2024 03:15:25,24358.70855,M00132,Jewelry,Wallet,Aligarh,0,0
