blacklist_id,merchant_id,device_id,user_id,ip_address,reason,added_on
B00422,M00166,D00340,USR00001,192.168.16.110,Suspicious Refund Pattern,21-06-2022 16:33:24
B00175,M00149,D00327,USR00002,192.168.230.140,High Risk Country Login,28-04-2021 03:57:46
B00134,M00419,D00193,USR00003,192.168.29.9,Suspicious Refund Pattern,07-03-2024 05:48:40
B00127,M00153,D00475,USR00004,192.168.133.224,IP Address Mismatch,23-01-2020 11:08:52
B00140,M00453,D00038,USR00005,192.168.42.9,Multiple Failed Passwords,24-06-2024 20:46:42
B00487,M00343,D00421,USR00006,192.168.158.166,Duplicate Transaction,18-07-2024 16:11:44
B00490,M00025,D00006,USR00007,192.168.123.14,Multiple Failed Passwords,09-03-2023 20:03:09
B00195,M00070,D00167,USR00008,192.168.108.219,Duplicate Transaction,08-08-2021 18:25:52
B00091,M00195,D00026,USR00009,192.168.255.231,Suspicious Refund Pattern,23-05-2020 06:04:44
B00197,M00015,D00327,USR00010,192.168.150.127,Multiple Failed Passwords,12-08-2021 08:59:42
B00366,M00073,D00470,USR00011,192.168.91.10,Account Accessed From 2 Locations,10-10-2022 23:24:32
B00121,M00498,D00221,USR00012,192.168.42.54,IP Address Mismatch,15-10-2024 21:20:56
B00472,M00208,D00059,USR00013,192.168.107.162,IP Address Mismatch,12-12-2024 12:11:44
B00394,M00378,D00160,USR00014,192.168.146.64,High Transaction Amount,07-05-2021 23:52:46
B00467,M00074,D00270,USR00015,192.168.4.28,Suspicious Refund Pattern,29-12-2022 08:20:55
B00409,M00089,D00359,USR00016,192.168.35.206,Chargeback History,06-08-2021 11:46:48
B00291,M00221,D00368,USR00017,192.168.160.221,Suspicious Refund Pattern,12-10-2022 17:13:44
B00275,M00391,D00437,USR00018,192.168.124.191,Abnormal Spending Pattern,12-06-2025 00:07:55
B00383,M00389,D00190,USR00019,192.168.134.143,Device Not Recognized,30-03-2024 09:10:25
B00481,M00043,D00318,USR00020,192.168.122.51,Suspicious Password Reset,07-07-2023 21:58:20
B00261,M00057,D00169,USR00021,192.168.133.55,IP Address Mismatch,26-01-2025 01:44:49
B00277,M00351,D00371,USR00022,192.168.131.162,High Risk Country Login,25-12-2020 23:16:17
B00157,M00395,D00441,USR00023,192.168.11.127,Suspicious Login Attempt,25-09-2022 19:34:55
