login_id,user_id,device_id  ,login_time,ip_address,location,login_status
LOG00001,USR00001,DEV00001,23-04-2024 14:08:41,179.186.50.67,Ranchi,Success
LOG00002,USR00002,DEV00002,06-09-2023 22:47:25,79.171.195.227,Lucknow,Failed
LOG00003,USR00003,DEV00003,25-08-2020 04:10:35,25.153.135.162,Hyderabad,Success
LOG00004,USR00004,DEV00004,15-12-2025 17:16:36,203.49.8.27,Bareilly,Success
LOG00005,USR00005,DEV00005,27-06-2023 13:02:43,173.237.131.90,Nashik,Success
LOG00006,USR00006,DEV00006,31-08-2021 02:04:53,82.84.193.106,Bhubaneswar,Failed
LOG00007,USR00007,DEV00007,06-04-2022 12:13:14,187.119.13.33,Kalyan-Dombivli,Success
LOG00008,USR00008,DEV00008,06-11-2022 12:35:15,138.224.49.5,Delhi,Failed
LOG00009,USR00009,DEV00009,02-08-2022 01:47:35,242.37.106.253,Indore,Failed
LOG00010,USR00010,DEV00010,08-09-2022 11:17:25,184.15.14.248,Visakhapatnam,Success
LOG00011,USR00011,DEV00011,28-07-2024 06:54:49,144.247.150.68,Rajkot,Success
LOG00012,USR00012,DEV00012,05-05-2022 12:46:01,115.140.93.157,Amritsar,Success
LOG00013,USR00013,DEV00013,11-11-2024 04:44:55,78.113.184.237,Madurai,Success
LOG00014,USR00014,DEV00014,29-08-2021 12:06:54,42.179.236.152,Madurai,Success
LOG00015,USR00015,DEV00015,23-06-2024 15:40:08,150.81.46.218,Bangalore,Success
LOG00016,USR00016,DEV00016,16-09-2024 07:46:10,34.174.206.21,Visakhapatnam,Failed
LOG00017,USR00017,DEV00017,22-03-2021 10:40:11,5.5.85.216,Kota,Failed
LOG00018,USR00018,DEV00018,29-07-2022 00:28:45,98.79.56.204,Surat,Success
LOG00019,USR00019,DEV00019,10-01-2021 07:01:42,184.166.226.137,Nashik,Success
LOG00020,USR00020,DEV00020,30-05-2023 12:30:27,118.169.229.82,Jalandhar,Failed
LOG00021,USR00021,DEV00021,14-10-2020 21:20:01,186.134.204.239,Mira-Bhayandar,Success
LOG00022,USR00022,DEV00022,06-05-2024 17:13:02,234.69.99.203,Indore,Success
LOG00023,USR00023,DEV00023,10-06-2020 22:22:10,182.18.18.27,Solapur,Success
LOG00024,USR00024,DEV00024,26-09-2022 16:45:55,115.217.26.169,Varanasi,Success
LOG00025,USR00025,DEV00025,14-03-2025 20:15:18,142.48.78.156,Agra,Success
LOG00026,USR00026,DEV00026,25-01-2024 14:36:55,179.5.26.218,Srinagar,Success
LOG00027,USR00027,DEV00027,22-01-2021 00:04:08,89.117.117.110,Chennai,Failed
LOG00028,USR00028,DEV00028,01-01-2020 11:01:10,134.170.58.138,Hyderabad,Success
LOG00029,USR00029,DEV00029,11-03-2025 00:11:37,182.29.25.107,Nagpur,Success
LOG00030,USR00030,DEV00030,10-09-2020 10:19:01,117.255.4.198,Navi Mumbai,Success
LOG00031,USR00031,DEV00031,07-08-2021 13:54:29,202.222.178.101,Moradabad,Success
LOG00032,USR00032,DEV00032,13-03-2022 17:25:14,14.83.59.180,Agra,Success
LOG00033,USR00033,DEV00033,01-10-2022 14:50:22,175.157.230.57,Vadodara,Failed
LOG00034,USR00034,DEV00034,12-11-2022 00:33:51,172.137.67.229,Lucknow,Success
LOG00035,USR00035,DEV00035,14-11-2025 01:48:28,243.249.30.241,Raipur,Success
LOG00036,USR00036,DEV00036,27-04-2025 15:13:00,92.181.206.95,Allahabad,Success
LOG00037,USR00037,DEV00037,23-03-2021 22:26:19,31.29.196.112,Kolkata,Success
LOG00038,USR00038,DEV00038,11-04-2020 19:29:33,28.202.126.15,Varanasi,Success
LOG00039,USR00039,DEV00039,08-12-2022 18:37:02,249.135.73.131,Moradabad,Failed
LOG00040,USR00040,DEV00040,10-07-2025 03:02:06,218.63.251.168,Bhopal,Failed
LOG00041,USR00041,DEV00041,27-07-2020 07:48:31,119.91.175.176,Kanpur,Failed
LOG00042,USR00042,DEV00042,09-11-2023 14:55:30,100.246.212.151,Pune,Failed
LOG00043,USR00043,DEV00043,25-09-2021 01:46:47,242.235.128.161,Patna,Success
LOG00044,USR00044,DEV00044,21-01-2023 17:06:07,107.29.129.126,Agra,Success
LOG00045,USR00045,DEV00045,01-10-2023 20:22:04,74.254.42.39,Aligarh,Success
LOG00046,USR00046,DEV00046,09-04-2021 21:00:36,223.33.94.239,Madurai,Failed
LOG00047,USR00047,DEV00047,13-03-2020 19:04:17,203.96.143.68,Aligarh,Success
LOG00048,USR00048,DEV00048,03-09-2025 22:54:11,218.57.184.133,Aligarh,Success
LOG00049,USR00049,DEV00049,22-05-2020 10:25:24,255.30.43.141,Madurai,Success
LOG00050,USR00050,DEV00050,24-12-2022 14:43:43,29.123.135.17,Rajkot,Success
LOG00051,USR00051,DEV00051,21-03-2022 16:14:41,42.242.171.54,Jodhpur,Success
LOG00052,USR00052,DEV00052,20-03-2021 20:23:54,36.168.102.238,Howrah,Success
LOG00053,USR00053,DEV00053,12-12-2025 02:25:44,5.195.55.190,Bhubaneswar,Success
LOG00054,USR00054,DEV00054,31-10-2022 19:46:37,186.199.102.52,Amritsar,Success
LOG00055,USR00055,DEV00055,10-10-2025 17:59:41,27.92.241.76,Ludhiana,Failed
LOG00056,USR00056,DEV00056,04-02-2020 20:57:36,190.37.227.85,Srinagar,Success
LOG00057,USR00057,DEV00057,22-07-2021 20:40:47,103.154.77.235,Madurai,Success
LOG00058,USR00058,DEV00058,18-07-2023 02:11:00,167.89.235.222,Nashik,Success
LOG00059,USR00059,DEV00059,06-01-2025 13:13:21,165.121.136.225,Bhubaneswar,Success
LOG00060,USR00060,DEV00060,13-10-2022 14:31:00,35.106.206.176,Chennai,Failed
LOG00061,USR00061,DEV00061,05-03-2021 09:41:14,53.225.60.44,Bhubaneswar,Success
LOG00062,USR00062,DEV00062,18-09-2025 12:23:46,28.49.181.42,Agra,Failed
LOG00063,USR00063,DEV00063,26-02-2023 10:40:20,35.76.41.13,Aligarh,Failed
LOG00064,USR00064,DEV00064,20-12-2020 19:14:48,99.208.54.190,Mysore,Success
LOG00065,USR00065,DEV00065,19-04-2020 20:28:55,139.118.181.95,Rajkot,Success
LOG00066,USR00066,DEV00066,14-05-2021 00:26:48,181.236.137.254,Rajkot,Failed
LOG00067,USR00067,DEV00067,28-04-2021 10:18:13,57.191.239.47,Nagpur,Failed
LOG00068,USR00068,DEV00068,04-02-2022 08:34:29,197.215.13.177,Bhopal,Success
LOG00069,USR00069,DEV00069,17-11-2022 09:52:51,49.120.58.193,Pimpri-Chinchwad,Failed
LOG00070,USR00070,DEV00070,28-07-2022 01:03:27,43.132.208.4,Nashik,Success
LOG00071,USR00071,DEV00071,04-07-2024 10:14:46,239.244.136.6,Jodhpur,Success
LOG00072,USR00072,DEV00072,28-12-2023 03:01:40,181.245.53.36,Aurangabad,Success
LOG00073,USR00073,DEV00073,28-09-2020 23:50:17,5.0.149.128,Thane,Success
LOG00074,USR00074,DEV00074,29-03-2020 12:50:00,111.19.21.202,Hyderabad,Failed
LOG00075,USR00075,DEV00075,21-04-2024 15:07:18,154.87.189.55,Ahmedabad,Success
LOG00076,USR00076,DEV00076,23-10-2025 03:16:53,148.211.46.54,Bhopal,Success
LOG00077,USR00077,DEV00077,30-10-2023 06:17:04,179.92.203.38,Jodhpur,Success
LOG00078,USR00078,DEV00078,06-05-2021 10:19:17,78.237.138.233,Bangalore,Success
LOG00079,USR00079,DEV00079,09-03-2022 10:24:19,14.247.39.161,Pune,Failed
LOG00080,USR00080,DEV00080,14-03-2025 21:18:22,11.147.187.210,Salem,Failed
LOG00081,USR00081,DEV00081,19-06-2025 03:33:36,105.96.145.108,Thane,Success
LOG00082,USR00082,DEV00082,18-08-2022 10:31:17,29.32.165.27,Nashik,Success
LOG00083,USR00083,DEV00083,06-10-2025 17:37:41,7.77.243.190,Gurgaon,Success
LOG00084,USR00084,DEV00084,19-09-2020 00:20:57,199.65.50.161,Chennai,Failed
LOG00085,USR00085,DEV00085,15-11-2021 05:06:24,104.169.89.28,Mysore,Success
LOG00086,USR00086,DEV00086,08-03-2021 02:24:22,100.170.24.127,Howrah,Success
LOG00087,USR00087,DEV00087,09-12-2023 23:24:05,159.4.76.81,Nashik,Success
LOG00088,USR00088,DEV00088,08-03-2024 15:38:25,200.23.233.152,Bhopal,Failed
LOG00089,USR00089,DEV00089,04-07-2024 23:17:22,14.245.9.166,Raipur,Success
LOG00090,USR00090,DEV00090,15-10-2024 01:42:36,130.122.204.116,Kalyan-Dombivli,Success
LOG00091,USR00091,DEV00091,02-02-2023 22:43:35,161.3.100.10,Tiruchirappalli,Success
LOG00092,USR00092,DEV00092,26-09-2023 05:55:35,71.15.3.247,Agra,Success
LOG00093,USR00093,DEV00093,29-08-2024 09:26:16,54.186.226.12,Dhanbad,Success
LOG00094,USR00094,DEV00094,14-07-2023 02:07:49,133.106.95.89,Vadodara,Success
LOG00095,USR00095,DEV00095,11-11-2024 12:07:32,253.85.231.64,Bareilly,Success
LOG00096,USR00096,DEV00096,16-04-2020 06:28:55,69.35.117.162,Jodhpur,Success
LOG00097,USR00097,DEV00097,01-07-2022 09:39:17,48.135.241.217,Ahmedabad,Success
LOG00098,USR00098,DEV00098,05-08-2025 21:31:31,133.232.33.13,Ranchi,Success
LOG00099,USR00099,DEV00099,23-11-2024 01:42:42,169.194.168.172,Jaipur,Success
LOG00100,USR00100,DEV00100,18-02-2023 06:20:29,233.109.233.60,Ghaziabad,Failed
LOG00101,USR00101,DEV00101,24-05-2022 17:52:19,251.44.4.51,Chandigarh,Success
LOG00102,USR00102,DEV00102,25-11-2020 16:14:53,43.19.57.150,Agra,Success
LOG00103,USR00103,DEV00103,22-04-2023 09:08:04,35.28.40.200,Solapur,Success
LOG00104,USR00104,DEV00104,19-08-2022 01:06:50,82.12.75.202,Ranchi,Success
LOG00105,USR00105,DEV00105,17-09-2020 06:02:58,178.111.215.143,Solapur,Success
LOG00106,USR00106,DEV00106,01-08-2024 19:43:10,99.37.23.10,Nagpur,Success
LOG00107,USR00107,DEV00107,07-05-2024 14:52:13,103.127.191.144,Rajkot,Success
LOG00108,USR00108,DEV00108,09-10-2025 15:20:42,91.24.48.5,Aurangabad,Success
LOG00109,USR00109,DEV00109,02-11-2025 11:33:59,188.61.146.79,Nashik,Success
LOG00110,USR00110,DEV00110,29-06-2020 11:32:54,219.140.201.130,Varanasi,Success
LOG00111,USR00111,DEV00111,15-07-2020 19:49:22,18.168.54.180,Guwahati,Success
LOG00112,USR00112,DEV00112,01-04-2023 20:06:51,89.188.172.197,Delhi,Success
LOG00113,USR00113,DEV00113,08-09-2022 22:15:58,11.92.1.42,Nashik,Success
LOG00114,USR00114,DEV00114,22-06-2024 20:42:18,106.252.215.33,Patna,Success
LOG00115,USR00115,DEV00115,16-04-2025 12:17:19,14.38.209.136,Dhanbad,Success
LOG00116,USR00116,DEV00116,13-04-2021 15:38:30,24.35.206.53,Meerut,Failed
LOG00117,USR00117,DEV00117,09-09-2020 00:50:25,25.52.105.71,Chandigarh,Failed
LOG00118,USR00118,DEV00118,02-06-2025 05:36:47,220.236.70.86,Gurgaon,Success
LOG00119,USR00119,DEV00119,29-06-2025 12:46:40,37.175.90.29,Rajkot,Failed
LOG00120,USR00120,DEV00120,28-11-2021 18:17:42,112.171.192.132,Mumbai,Success
LOG00121,USR00121,DEV00121,08-03-2025 09:21:55,178.65.35.15,Raipur,Success
LOG00122,USR00122,DEV00122,16-05-2023 13:53:15,133.98.33.18,Vadodara,Failed
LOG00123,USR00123,DEV00123,01-06-2022 07:47:51,88.245.39.32,Aurangabad,Success
LOG00124,USR00124,DEV00124,25-10-2024 08:43:30,163.143.224.60,Madurai,Failed
LOG00125,USR00125,DEV00125,20-06-2021 13:00:13,204.127.96.9,Pune,Success
LOG00126,USR00126,DEV00126,14-11-2021 23:53:06,217.53.132.204,Ranchi,Success
LOG00127,USR00127,DEV00127,28-01-2020 21:58:37,107.206.31.53,Patna,Success
LOG00128,USR00128,DEV00128,08-08-2021 20:40:44,85.4.230.73,Jabalpur,Success
LOG00129,USR00129,DEV00129,27-09-2024 18:27:29,191.94.213.120,Ludhiana,Success
LOG00130,USR00130,DEV00130,16-08-2021 21:52:11,84.49.133.63,Nagpur,Failed
LOG00131,USR00131,DEV00131,24-10-2022 09:09:34,188.122.110.107,Ghaziabad,Failed
LOG00132,USR00132,DEV00132,25-09-2021 11:03:07,86.60.78.73,Solapur,Success
LOG00133,USR00133,DEV00133,15-08-2022 16:31:30,78.5.215.53,Vadodara,Success
LOG00134,USR00134,DEV00134,28-08-2021 09:41:23,243.240.201.102,Lucknow,Success
LOG00135,USR00135,DEV00135,15-01-2024 00:11:01,204.3.229.191,Aurangabad,Success
LOG00136,USR00136,DEV00136,27-08-2023 07:16:28,200.222.54.34,Vasai-Virar,Success
LOG00137,USR00137,DEV00137,12-07-2022 20:43:42,32.202.67.33,Ludhiana,Success
LOG00138,USR00138,DEV00138,11-11-2024 20:20:59,31.80.116.222,Lucknow,Failed
LOG00139,USR00139,DEV00139,22-05-2025 00:36:19,6.134.156.254,Srinagar,Success
LOG00140,USR00140,DEV00140,17-06-2023 12:33:57,156.155.251.94,Chandigarh,Success
LOG00141,USR00141,DEV00141,09-07-2022 22:03:30,7.194.34.211,Ludhiana,Failed
LOG00142,USR00142,DEV00142,10-05-2020 22:01:24,166.118.116.105,Jabalpur,Failed
LOG00143,USR00143,DEV00143,26-05-2023 03:48:34,173.20.23.140,Bangalore,Failed
LOG00144,USR00144,DEV00144,15-05-2020 09:27:03,143.108.233.99,Agra,Success
LOG00145,USR00145,DEV00145,20-06-2024 18:47:33,71.161.79.40,Jaipur,Success
LOG00146,USR00146,DEV00146,17-04-2020 09:07:36,182.35.230.168,Aligarh,Success
LOG00147,USR00147,DEV00147,25-10-2024 00:08:33,153.161.16.96,Ahmedabad,Success
LOG00148,USR00148,DEV00148,25-01-2022 04:23:10,11.241.43.121,Hyderabad,Success
LOG00149,USR00149,DEV00149,06-08-2022 07:02:17,82.14.222.118,Jabalpur,Failed
LOG00150,USR00150,DEV00150,28-08-2022 01:13:20,34.181.66.154,Vadodara,Success
LOG00151,USR00151,DEV00151,30-05-2023 07:49:00,83.135.129.210,Indore,Failed
LOG00152,USR00152,DEV00152,26-05-2021 16:45:05,109.112.146.202,Madurai,Success
LOG00153,USR00153,DEV00153,25-08-2025 18:58:24,187.159.175.77,Nagpur,Success
LOG00154,USR00154,DEV00154,30-07-2025 10:03:43,112.142.50.158,Delhi,Success
LOG00155,USR00155,DEV00155,27-05-2024 02:19:18,102.79.64.81,Howrah,Success
LOG00156,USR00156,DEV00156,14-06-2020 04:52:04,170.14.202.173,Mysore,Success
LOG00157,USR00157,DEV00157,17-11-2020 07:37:42,78.151.77.68,Moradabad,Success
LOG00158,USR00158,DEV00158,21-12-2023 14:01:25,87.21.121.43,Ahmedabad,Success
LOG00159,USR00159,DEV00159,04-01-2024 09:03:30,225.193.1.59,Dhanbad,Failed
LOG00160,USR00160,DEV00160,24-11-2020 15:25:54,3.220.97.86,Ranchi,Success
LOG00161,USR00161,DEV00161,08-11-2021 20:11:25,173.154.224.170,Vadodara,Success
LOG00162,USR00162,DEV00162,18-02-2025 15:42:43,112.105.41.189,Jabalpur,Success
LOG00163,USR00163,DEV00163,23-10-2020 09:46:41,62.243.153.85,Ludhiana,Success
LOG00164,USR00164,DEV00164,13-03-2022 06:17:55,140.33.57.114,Visakhapatnam,Success
LOG00165,USR00165,DEV00165,26-12-2022 17:39:57,171.139.248.169,Surat,Success
LOG00166,USR00166,DEV00166,23-12-2020 10:25:07,236.237.33.171,Vadodara,Failed
LOG00167,USR00167,DEV00167,12-06-2024 03:57:55,183.110.41.153,Thane,Success
LOG00168,USR00168,DEV00168,27-08-2022 02:31:40,94.180.135.95,Bareilly,Success
LOG00169,USR00169,DEV00169,03-09-2024 18:33:44,144.189.76.113,Mira-Bhayandar,Failed
LOG00170,USR00170,DEV00170,01-04-2023 05:21:03,110.141.156.75,Pune,Failed
LOG00171,USR00171,DEV00171,27-10-2020 01:46:34,213.119.180.42,Gwalior,Success
LOG00172,USR00172,DEV00172,01-12-2024 02:56:23,126.20.147.218,Nagpur,Success
LOG00173,USR00173,DEV00173,04-06-2025 08:58:30,217.169.216.169,Kolkata,Failed
LOG00174,USR00174,DEV00174,02-01-2021 05:25:15,254.163.230.187,Surat,Success
LOG00175,USR00175,DEV00175,30-08-2020 11:53:31,113.122.174.248,Bareilly,Success
LOG00176,USR00176,DEV00176,02-12-2021 21:46:37,52.133.149.217,Kolkata,Failed
LOG00177,USR00177,DEV00177,04-05-2025 22:37:18,180.43.193.222,Moradabad,Success
LOG00178,USR00178,DEV00178,21-03-2022 03:35:36,13.164.178.27,Amritsar,Failed
LOG00179,USR00179,DEV00179,01-11-2020 00:02:10,42.32.99.12,Pimpri-Chinchwad,Success
LOG00180,USR00180,DEV00180,07-07-2023 20:14:11,72.125.252.201,Jaipur,Success
LOG00181,USR00181,DEV00181,15-12-2025 14:34:18,84.56.165.28,Kanpur,Failed
LOG00182,USR00182,DEV00182,23-05-2020 03:45:35,77.250.131.185,Patna,Failed
