transaction_id  ,user_id  ,device_id  ,amount_score  ,txn_count_last_24h  ,txn_amount_last_24h  ,avg_amount_30d  ,device_change_flag  ,location_change_flag  ,international_risk_flag
TXN00001,USR00001,DEV00001,5,10,28406,11464,1,1,0
TXN00002,USR00002,DEV00002,6,22,17560,11761,0,0,1
TXN00003,USR00003,DEV00003,60,35,11361,79651,1,1,1
TXN00004,USR00004,DEV00004,34,49,76487,9248,1,1,1
TXN00005,USR00005,DEV00005,99,20,6988,19,1,0,1
TXN00006,USR00006,DEV00006,21,9,84182,49312,1,0,0
TXN00007,USR00007,DEV00007,84,26,58,77330,1,0,1
TXN00008,USR00008,DEV00008,2,9,22188,71670,0,1,1
TXN00009,USR00009,DEV00009,0,9,255,60785,0,0,1
TXN00010,USR00010,DEV00010,7,6,126217,63648,0,0,0
TXN00011,USR00011,DEV00011,35,7,196025,232,0,0,1
TXN00012,USR00012,DEV00012,70,24,38264,73020,0,1,1
TXN00013,USR00013,DEV00013,67,1,35498,1715,1,0,1
TXN00014,USR00014,DEV00014,9,0,23287,19741,0,0,0
TXN00015,USR00015,DEV00015,83,26,3544,12767,0,1,1
TXN00016,USR00016,DEV00016,5,0,20108,89120,0,0,1
TXN00017,USR00017,DEV00017,74,3,28837,29121,0,0,0
TXN00018,USR00018,DEV00018,0,12,2540,30619,1,1,1
TXN00019,USR00019,DEV00019,98,12,79224,99853,1,1,1
TXN00020,USR00020,DEV00020,10,9,7370,91213,1,1,0
TXN00021,USR00021,DEV00021,0,27,85566,44686,1,1,1
TXN00022,USR00022,DEV00022,46,3,3646,10515,1,0,1
TXN00023,USR00023,DEV00023,5,5,167315,59449,0,0,0
TXN00024,USR00024,DEV00024,78,50,98064,20005,0,1,0
TXN00025,USR00025,DEV00025,32,17,8092,75986,1,1,0
TXN00026,USR00026,DEV00026,6,2,102980,43881,0,0,0
TXN00027,USR00027,DEV00027,8,2,132603,50905,1,0,0
TXN00028,USR00028,DEV00028,20,4,128295,86631,0,0,0
TXN00029,USR00029,DEV00029,82,45,85126,59722,0,1,0
TXN00030,USR00030,DEV00030,13,0,23197,98710,1,1,1
TXN00031,USR00031,DEV00031,80,20,15114,86444,0,1,1
TXN00032,USR00032,DEV00032,76,39,140521,3,1,1,0
TXN00033,USR00033,DEV00033,1,24,93991,56233,1,0,1
TXN00034,USR00034,DEV00034,0,12,150880,97419,1,1,0
TXN00035,USR00035,DEV00035,0,36,130828,14438,0,0,0
TXN00036,USR00036,DEV00036,39,6,135028,402,0,1,0
TXN00037,USR00037,DEV00037,11,49,86490,22270,1,1,1
TXN00038,USR00038,DEV00038,21,1,3701,1930,1,0,0
TXN00039,USR00039,DEV00039,2,10,102455,44662,1,0,0
TXN00040,USR00040,DEV00040,23,43,154769,259,0,0,0
TXN00041,USR00041,DEV00041,65,38,114450,23933,0,0,1
TXN00042,USR00042,DEV00042,4,47,31378,87566,1,1,1
TXN00043,USR00043,DEV00043,4,6,41115,37145,0,0,0
TXN00044,USR00044,DEV00044,1,0,141553,46681,0,1,1
TXN00045,USR00045,DEV00045,50,36,64157,99180,0,0,1
TXN00046,USR00046,DEV00046,65,11,172332,38881,0,0,0
TXN00047,USR00047,DEV00047,94,0,6903,62127,1,1,1
TXN00048,USR00048,DEV00048,91,35,20583,13043,1,1,1
TXN00049,USR00049,DEV00049,15,4,179732,6,1,0,0
TXN00050,USR00050,DEV00050,93,41,139782,4678,1,0,1
TXN00051,USR00051,DEV00051,6,9,164,23874,0,1,0
TXN00052,USR00052,DEV00052,43,24,23322,51126,0,0,0
TXN00053,USR00053,DEV00053,11,11,64663,42698,1,0,1
TXN00054,USR00054,DEV00054,79,10,19742,33833,0,0,1
TXN00055,USR00055,DEV00055,7,45,152749,60,0,0,0
TXN00056,USR00056,DEV00056,4,2,65562,86820,1,0,1
TXN00057,USR00057,DEV00057,13,16,18069,45079,1,0,0
TXN00058,USR00058,DEV00058,3,33,19560,3918,1,1,0
TXN00059,USR00059,DEV00059,22,40,2822,71680,0,1,1
TXN00060,USR00060,DEV00060,5,32,33967,87783,0,0,1
TXN00061,USR00061,DEV00061,48,10,128935,5339,1,1,0
TXN00062,USR00062,DEV00062,15,0,32243,81465,1,0,0
TXN00063,USR00063,DEV00063,3,12,3768,4877,1,1,0
TXN00064,USR00064,DEV00064,94,38,133030,1189,0,0,0
TXN00065,USR00065,DEV00065,47,0,69487,233,1,1,0
TXN00066,USR00066,DEV00066,32,25,172578,61315,1,0,1
TXN00067,USR00067,DEV00067,1,25,4369,77161,0,0,0
TXN00068,USR00068,DEV00068,39,36,116223,8238,0,1,0
TXN00069,USR00069,DEV00069,0,6,15401,40890,1,0,0
TXN00070,USR00070,DEV00070,0,5,188516,77966,1,0,0
TXN00071,USR00071,DEV00071,7,4,4,23715,0,0,1
